Field=#~Integer~#~50|Field=Address1~String~Address1~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Sera.PrjPCB|ReportField=ProjectFullPath~C:\Users\test\Desktop\Sera_Board\Sera.PrjPCB|ReportField=Title~Bill of Materials For Project [Sera.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:20:05 AM|ReportField=ReportDate~8/31/2019|ReportField=ReportDateTime~8/31/2019 10:20:05 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~4|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/31/2019|ReportField=CurrentTime~9:46:27 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\test\Desktop\Sera_Board\Sera.SchDoc|ReportField=DocumentName~Sera.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/31/2019|ReportField=Organization~|ReportField=ProjectName~Sera.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Sera.PrjPCB|ReportField=DataSourceFullPath~C:\Users\test\Desktop\Sera_Board\Sera.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||LTST-C191KGKT|LED|LED1|LEDC1608X55N|LTST-C191KGKT|1
2||Header 2X2|Header, 2-Pin, Dual row|P1|HDR2X2|Header 2X2|1
3||0-10ohm|Resistor|R1|RESC2012X60N|CRCW0805160RFKEAHP|1
4||BAT-HLD-001-THM|Undefined or Miscellaneous|U1|BATHLD001THM|BAT-HLD-001-THM|1
